Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Professional Development;ISPD;School on Central Budgets;Non-School;Alternative;Non-Position;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;nan;nan;Alternative Schools Instruction;nan;District Wide Resources;0.0;nan;nan;TIME CARD CERTIFIEDAddl;759.4;Instruction - Regular;General Purpose School;nan
Extended Time & Tutoring;Instruction;School Reported;School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;EXTRA DUTY PAY-INSTRUCTIONAL  ;nan;nan;TEACHER, MATH-HIGH            ;nan;nan;nan;School ;nan;BASIC (FEFP K-12)             ;nan;nan;1729.9;nan;GENERAL FUND                  ;LOCAL ALLOC SAI               
School Administration;Leadership;School Reported;School;Unspecified;Principal;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Principal, Elementary ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;ADMINISTRATOR;2385.1;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
Curriculum Development;ISPD;Leadership & Management;Non-School;Unspecified;Instructional Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SKILLS SPECIALIST;nan;Undistributed;Extra Duty Wages;Unallocated;nan;Curriculum Development And Instructional Staff Dev;Instruction and Curriculum;TEACHER BACHELOR;51.2962140659;Undistributed;General Operating Fund;CURRICULUM WRITING
Professional Development;ISPD;School on Central Budgets;Non-School;Special Education;Instructional Coach;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Other Personnel;nan;nan;STIM FUND COTEACHING COACH;nan;IDEA Part B;nan;District Wide Resources;0.42010501673699996;nan;SPECIAL EDUCATION;INSTRUC COACH CO-TCHR;24830.27;Support - SPED;School Federal Projects;INDIVIDUALS WITH DISABILITIES ACT PART B
Food Services;O&M;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;SALARIES FOR OVERTIME;FOOD SERVICES;FOOD SERVICE FUND;Manager, Food Service III ;nan;nan;nan;FOOD AND NUTRITION SERVICES;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;87.64;FOOD PREPARATION/SERVING;nan;FOOD SERVICES OPERATIONS
Professional Development;ISPD;School Reported;School;At Risk;Instructional Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;State Ed. Allotment;ACADEMIC SPECIALIST;nan;nan;Extra Duty Wages;School ;nan;Instruction;All Campus Payroll;TEACHER MASTER;776.5010059560001;Title I, Part A Schoolwide Activities Related To State Comp;General Operating Fund;DEPARTMENT CHAIRPERSON
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Teacher, Short Term Sub ;nan;nan;nan;nan;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;13.22;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Facilities & Maintenance;NO_LABEL;School Reported;School;NO_LABEL;Custodian;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Building Custodian II;nan;nan;nan;nan;1.0;nan;nan;BUILDING CUSTODIAN ;47625.08;Misc;General Fund;nan
Teacher Compensation;Instruction;School Reported;School;PreK;Teacher;Base Salary/Compensation;PreK;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;ITEMGD PRESCHOOL PROGRAM;Teacher, Elementary ;Regular;nan;nan;nan;nan;ELPA - PRESCHOOL PROG;nan;PROFESSIONAL-INSTRUCTIONAL;1317.0664800000004;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Career & Academic Counseling;Pupil Services & Enrichment;School Reported;School;Unspecified;Guidance Counselor;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Student Advisor, High Sch ;Regular;nan;nan;nan;0.108382891734;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;7452.93644455;GUIDANCE SERVICES;nan;STUDENTS
Professional Development;ISPD;School Reported;School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;GENERAL FUND;Teacher, Elementary ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;24.84256;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Club Advisor/Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;nan;nan;Regular Instruction;nan;nan;0.0;nan;nan;CCOACH CERT TCHRACCT;2523.6;Instruction - Regular;General Purpose School;nan
Other Compensation;Instruction;Shared Services;Non-School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;transportation - Second Runs;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Transportation;Transportation Department;BUS DRIVER;108.03;Undistributed;General Operating Fund;FIELD TRIPS
Curriculum Development;ISPD;Leadership & Management;Non-School;Gifted;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;GIFTED AND TALENTED;STATE AND LOCAL GDPG FUND;Dir, Gifted/Talented Ed ;nan;nan;nan;GIFTED AND TALENTED;nan;STATE - GIFTED AND TALENTED;nan;ADMINISTRATOR;1074.14;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Finance, Budget, Purchasing & Distribution;NO_LABEL;Leadership & Management;Non-School;NO_LABEL;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL - EMPLOYEES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;SUPPORT SERVICES - BUSINE;nan;nan;405.31;Misc;General Fund;nan
Instructional Materials & Supplies;Instruction;School Reported;School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;New Library Books;nan;Support Services - Instructional Staff;nan;nan;nan;Library Books *;nan;nan;School Library Services *;nan;nan;1076.72;nan;General;SCHOOL BASED MANAGEMENT
Student Transportation;O&M;Shared Services;Non-School;Special Education;Other;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;BUS DRIVER                    ;nan;nan;nan;TRANSPORTATION                ;0.0;PUPIL TRANSPORTATION SERVICES ;nan;nan;14.085999999999999;nan;GENERAL FUND                  ;nan
Development & Fundraising;Business Services;Leadership & Management;Non-School;Poverty;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Regular *;ADM/PROF;Support Services - Administration;SOLUTION SPECIALIST;nan;nan;nan;CHIEF ACADEMIC OFFICER;1.0;Education Services*;nan;nan;67486.51407959999;nan;Title I - Disadvantaged Children/Targeted Assistance;ADMIN
School Administration;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;RENTAL OF EQUIPMENT AND VEHICLES;nan;PRIMARY GRADES PROGRAM ;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;10868.59;PRIMARY GRADES PROGRAM ;General Fund;nan
Professional Development;ISPD;School on Central Budgets;Non-School;Unspecified;Guidance Counselor;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;TEACHER LEARNING & LEADERSHIP;GENERAL FUND;School Counselor, High Sch ;nan;nan;nan;TEACHER LEARNING & LEADERSHIP;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;247.66088;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
School Supervision;Leadership;Leadership & Management;Non-School;Special Education;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;INSTRUCTIONAL SUPPORT TEAMS;GENERAL FUND;Spec Ed Asst, Mild/Moderate ;nan;nan;nan;ES TEAM ;nan;UNALLOC BUDGETS/SCHOOLS;nan;PARAPROFESSIONAL;615.5065599999998;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Professional Development;ISPD;School Reported;School;Unspecified;Instructional Coach;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;LEVY OVERRIDE;Facilitator,Elem ;Regular;nan;nan;nan;nan;FACILITATOR;nan;PROFESSIONAL-INSTRUCTIONAL;263.09168;LITERACY COACHES;nan;INSTRUCTIONAL STAFF
Instructional Materials & Supplies;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES;nan;KINDERGARTEN, QBE;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;32.940000000000005;KINDERGARTEN;General Fund;nan
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;CONSULTANT                    ;nan;nan;nan;nan;nan;nan;GRANT SERVICES                ;nan;ADMIN TECHNOLOGY SVCS         ;MIS DEPT (CORE)               ;nan;403.08;nan;GENERAL FUND                  ;EXEC DIR OF IT                
Curriculum Development;ISPD;Shared Services;Non-School;PreK;Other;Benefits;PreK;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;EARLY EDUCATION;ITEMGD PRESCHOOL PROGRAM;SFPC Liaison Specialist ;nan;nan;nan;EARLY CHILDHOOD EDUCATION;nan;ELPA - PRESCHOOL PROG;nan;PROFESSIONAL-OTHER;125.81;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Substitute Compensation;Instruction;School Reported;School;At Risk;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;State Ed. Allotment;TEACHER SUBSTITUTE POOL;nan;nan;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;DEGREED SUBSTITUTE;47.2989930555;Title I, Part A Schoolwide Activities Related To State Comp;General Operating Fund;REGULAR PAY
Untracked Budget Set-Aside;Untracked Budget Set-Aside;School on Central Budgets;Non-School;Special Education;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;CONSULTANT                    ;nan;nan;nan;nan;nan;nan;ESE                           ;nan;EXCEPTIONAL                   ;nan;nan;610244.2699999999;nan;GENERAL FUND                  ;SAI-EBD CONTRACT              
Professional Development;ISPD;Shared Services;Non-School;ELL;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;FEDERAL GDPG FUND - FY ;Teacher, Short Term Sub ;nan;nan;nan;ENGLISH FOR SPEAKERS OF OTHER;0.004310344827590001;TITLE III  ELA;nan;PROFESSIONAL-INSTRUCTIONAL;110.037938468;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;OUT OF COUNTY TRAVEL          ;nan;nan;nan;nan;nan;nan;GRANT SERVICES                ;nan;STAFF SERVICES                ;nan;nan;253.48;ED TECHNOLOGY CONFERENCE   ;GENERAL FUND                  ;GRANT SERVICES                
Aides Compensation;Instruction;School Reported;School;PreK;TA;Base Salary/Compensation;PreK;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;DISTRICT SPECIAL REVENUE FUNDS;Early Childhood Education ;Regular;nan;nan;nan;nan;MONTESSORI TUITION BASED;nan;PARAPROFESSIONAL;538.53608;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Food Services;O&M;Shared Services;Non-School;Unspecified;Non-Position;Supplies/Materials;Non PreK;PreK-12 Operating;Fuel;nan;Food Service Operations;nan;nan;nan;Supplies And Materials For Operation And Repair Of Motor;nan;nan;Food Purchasing, Preparation And Dispensing Services *;nan;nan;53028.96;nan;Food Services;ELEM LUNCH
Professional Development;ISPD;School Reported;School;Poverty;Instructional Coach;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;SKILLS SPECIALIST;nan;Regular Salary;Salaries And Wages For Teachers And Other Professi;School ;1.0;Instruction;Instruction And Curriculum;TEACHER BACHELOR;53361.48019530001;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;REGULAR PAY
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;CUSTODIAL-SCHOOLS;GENERAL FUND;Custodial Helper - Day ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;687.3399999999997;CARE & UPKEEP OF BLDG SERVICES;nan;OPERATION AND MAINT OF PLANT
Student Assignment;Leadership;Shared Services;Non-School;Unspecified;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Secretary - Hourly ;nan;nan;nan;SCHOOL CHOICE;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;272.85;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Facilities & Maintenance;O&M;Shared Services;Non-School;Unspecified;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;MAINTENANCE;LEVY OVERRIDE;Supv, Welding/Sheet Metal ;nan;nan;nan;MAINTENANCE;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;844.81;MAINTENANCE - WELDING/SHEETMTL;nan;OPERATION AND MAINT OF PLANT
Professional Development;ISPD;School Reported;School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;WORKSHOP PARTICIPANT          ;nan;nan;TEACHER, LANG ARTS-HIGH       ;nan;nan;nan;School ;nan;INST STAFF TRAINING SVCS      ;nan;nan;224.49;nan;FED THRU STATE-CASH ADVANCE   ;TITLE II PART A               
Food Services;O&M;Shared Services;School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Child Nutrition;CAFETERIA EMPLOYEE, FOOD SERV.;nan;Undistributed;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Food Services (Child Nutrition Fund Only);Child Nutrition;HS FOOD SERVICE WORKER ;300.72;Undistributed;National School Breakfast And Lunch Program;ADDL REGULAR PAY-NOT SMOOTHED
Instructional Materials & Supplies;Instruction;School Reported;School;Gifted;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;GENERAL SUPPLIES;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;STATE - GIFTED AND TALENTED;nan;UNDESIGNATED;1006.58;GIFTED AND TALENTED;nan;REGULAR INSTRUCTION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;CAPITALIZED COMPUTER HARDWARE ;nan;nan;nan;nan;nan;nan;School ;nan;ADMIN TECHNOLOGY SVCS         ;nan;nan;6041.48;nan;GENERAL FUND                  ;MOBILE RADIO/CAMERA PROJECT   
Food Services;O&M;School Reported;School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;FOOD SERVICES;FOOD SERVICE FUND;Manager, Food Service II ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;CRAFTS, TRADES, AND SERVICES;2684.55768;FOOD PREPARATION/SERVING;nan;FOOD SERVICES OPERATIONS
Utilities;NO_LABEL;School Reported;School;NO_LABEL;NO_LABEL;Rent/Utilities;NO_LABEL;PreK-12 Operating;COMMUNICATION;nan;TITLE I-A ARRA OF  TARGETED ASSISTANCE;nan;nan;nan;nan;nan;nan;OTHER SUPPORT SERVICES;nan;nan;-0.13;ARRA - Title I Grants to LEAs;Title I;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;General Supplies;Performing Arts Department, E;nan;nan;nan;choir;Performing Arts - Music;School ;nan;Instruction;Performing Arts Department;nan;0.06;Basic Educational Services;General Operating Fund;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;NO_LABEL;PreK-12 Operating;OTHER PERSONAL SERVICES       ;nan;nan;SUB TEACHER ALL               ;nan;nan;nan;School ;0.0;BASIC (FEFP K-12)             ;nan;nan;40.78;nan;GENERAL FUND                  ;nan
Extended Time & Tutoring;Instruction;School Reported;School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;GENERAL FUND;Teacher Secondary (Middle) ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;712.5799999999997;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Aides Compensation;Instruction;School Reported;School;PreK;TA;Base Salary/Compensation;PreK;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;DISTRICT SPECIAL REVENUE FUNDS;Early Childhood Education ;Regular;nan;nan;nan;0.169047619048;MONTESSORI TUITION BASED;nan;PARAPROFESSIONAL;2967.076780950001;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;PSYCHOLOGICAL SERVICES;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;814.84;SOCIAL WORK SERVICES;nan;STUDENTS
Security & Safety;O&M;School on Central Budgets;Non-School;Unspecified;School Monitor/Security;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Operations;SECURITY OFFICER;nan;nan;Extra Duty Pay/Overtime For Support Personnel;Unallocated;nan;Security And Monitoring Services;Performing Arts Department;POLICE PATROL MAN;1386.67;Athletics And Related Activities;General Operating Fund;OVERTIME
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;Basic Educational Services - District Objective ;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;NON DEGREED SUBSTITUTE;82.9739870688;Basic Educational Services;General Operating Fund;REGULAR PAY
Human Resources;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;PERSONNEL SERVICES;GENERAL FUND;Manager, Human Resources ;nan;nan;nan;HUMAN RESOURCES;nan;NON-PROJECT;nan;ADMINISTRATOR;1555.86;STAFF SERVICES;nan;CENTRAL
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Social Worker;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Social Worker ;Turnaround;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;520.05;SOCIAL WORK SERVICES;nan;STUDENTS
School Supervision;NO_LABEL;Leadership & Management;Non-School;NO_LABEL;Area Officers;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;Area Superintendent;nan;nan;nan;ADMIN. SERVICES;1.0;nan;nan;NONE ;178111.84;Misc;General Fund;nan
Extended Time & Tutoring;Instruction;School Reported;School;Unspecified;Teacher;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Elementary ;Regular;nan;nan;nan;nan;LIGHTS ON AFTER SCHOOL ;nan;PROFESSIONAL-INSTRUCTIONAL;241.11;AFTER SCHOOL PROGRAMS;nan;COCURRICULAR ED/ACTIVITIES
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher, Short Term Sub ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-12.92;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Assistant Principals;nan;nan;ASSISTANT PRINCIPAL - SEC;nan;Office of Principal;nan;nan;0.0;nan;nan;ASST PRINCIPAL;7806.5;Principal's Office;General Purpose School;nan
Professional Development;ISPD;School Reported;School;Unspecified;Non-Position;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL AND REGISTRATION;nan;GENERAL FUND;(blank);Regular;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;345.5;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Teacher Compensation;Instruction;School on Central Budgets;Non-School;PreK;Teacher;Other Compensation/Stipend;PreK;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;EARLY EDUCATION;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Elementary ;nan;nan;nan;EARLY CHILDHOOD EDUCATION;nan;TUITION BASED - ECE;nan;PROFESSIONAL-INSTRUCTIONAL;48.90512;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Unspecified;Social Worker;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;GENERAL FUND;Social Worker ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;2725.816960000001;SOCIAL WORK SERVICES;nan;STUDENTS
Security & Safety;NO_LABEL;School Reported;School;NO_LABEL;Area Officers;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;School Resource Officer;nan;nan;nan;nan;1.0;nan;nan;RESOURCE OFFICER (NO SUB REQD) ;52725.31;Misc;General Fund;nan
Extended Time & Tutoring;Instruction;School on Central Budgets;Non-School;Unspecified;Teacher;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;AFTERSCHOOL PROGRAMS;SUMMER ED, ARTS & SPORTS - SEAS;Teacher (Afterschool);nan;nan;nan;OFFICE OF COMMUNITY & EDUCATION PROGRAMS;0.025;nan;nan;nan;2225.65037034;nan;nan;nan
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;TEACHER SUBS;GENERAL FUND;Teacher, Super Sub D/D ;Turnaround;nan;nan;nan;0.028017241379299996;UNALLOC BUDGETS/SCHOOLS;nan;PROFESSIONAL-INSTRUCTIONAL;1076.36353939;GENERAL HIGH SCHOOL EDUCATION;nan;REGULAR INSTRUCTION
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Substitute Professionals;nan;Operations;TEACHER SUBSTITUTE POOL;nan;nan;Salaries And Wages For Substitute Teachers;School ;nan;Instruction;All Campus Payroll;CERTIFIED SUBSTITUTE;698.042563856;Bilingual Education And Special Language Programs;General Operating Fund;REGULAR PAY
Food Services;O&M;School Reported;School;Unspecified;Coordinator/Manager;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;MANAGER III, FOOD SERVICE     ;nan;nan;nan;School ;1.0;FOOD SERVICE                  ;nan;nan;42343.1210867;nan;FOOD SERVICES                 ;nan
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;GRANTS SPECIALIST             ;nan;nan;nan;GRANT SERVICES                ;0.181399510727;PLANNING,RES,DEV,& EVAL       ;nan;nan;16354.782614500002;nan;GENERAL FUND                  ;nan
Extended Time & Tutoring;Instruction;School Reported;School;Poverty;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;TEACHER, REGULAR;nan;nan;Extended Day;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;156.69455765700002;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;EXTENDED DAYS
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Physical Therapist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;SPEECH & LANGUAGE;GENERAL FUND;Physical Therapist ;nan;nan;nan;SPECIAL EDUCATION;0.198917797173;SPECIAL EDUCATION - ITINERANT;nan;PROFESSIONAL-INSTRUCTIONAL;19178.1524852;SPECIAL EDUCATION-PT;nan;SPECIAL EDUCATION
Governance;Leadership;Leadership & Management;Non-School;Unspecified;Non-Position;Other Non-Compensation;NO_LABEL;PreK-12 Operating;MISCELLANEOUS EXPENDITURES;OFFICE OF THE SUPERINTENDENT;DISTRICT SPECIAL REVENUE FUNDS;(blank);nan;nan;nan;SUPERINTENDENT OF SCHOOLS;nan;PEPSI GRANT;nan;UNDESIGNATED;15570.26;OFFICE OF THE SUPERINTENDENT;nan;GENERAL ADMINISTRATION
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Nurse ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-972.22;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Development & Fundraising;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED COMPUTER HARDW;nan;nan;nan;nan;nan;nan;EDUC FOUNDATION DIRECTOR      ;nan;PLANNING,RES,DEV,& EVAL       ;nan;nan;2333.37;nan;GENERAL FUND                  ;EDUC FOUNDATION DIRECTOR      
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Principal, Asst Middle Sch ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;ADMINISTRATOR;4547.9000000000015;SUPPORT SERVICES-SCHOOL ADMIN;nan;SCHOOL ADMINISTRATION
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Custodial Helper - Day ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-1.79;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
